Team,Shutout Percentage,Scoring Offense,Shots Per Game,Goals Against Average,Points Per Game,Save Percentage,Win-Loss-Tied Percentage,Assists Per Game,Fouls Per Game,Yellow Cards,Penalty Kicks,Red Cards,Corner Kicks Per Game,Shot Accuracy,Saves per Game,Shots on Goal Per Game,Total Assists,Total Goals,Total Points
Drake,.286,1.86,11.86,1.143,5.86,.704,.571,2.14,11.57,16,.000,,4.57,.554,2.71,6.57,15,13,41
Drexel,.429,.86,13.43,.857,2.57,.684,.500,.86,4.86,2,.000,,6.14,.489,1.86,6.57,6,6,18
Duke,.800,3.60,26.00,.400,11.80,.778,1.000,4.60,7.20,3,.000,,9.80,.385,1.40,10.00,23,18,59
Duquesne,.400,3.20,21.00,1.200,8.00,.760,.800,1.60,7.00,5,1.000,,7.40,.438,3.80,9.20,8,16,40
ETSU,.429,1.00,15.00,.857,2.57,.647,.571,.57,11.14,7,.000,1,4.29,.505,1.57,7.57,4,7,18
East Carolina,.333,1.33,12.67,1.000,3.83,.786,.500,1.17,9.17,4,1.000,,6.17,.487,3.67,6.17,7,8,23
East Texas A&M,.167,1.17,11.83,2.833,3.83,.653,.500,1.50,9.67,7,1.000,,3.83,.352,5.33,4.17,9,7,23
Eastern Ill.,.143,.71,7.57,1.857,2.14,.723,.357,.71,8.00,4,.000,,3.57,.509,4.86,3.86,5,5,15
Eastern Ky.,.167,2.00,8.17,2.400,6.17,.760,.750,2.17,6.67,6,1.000,,1.00,.531,6.33,4.33,13,12,37
Eastern Mich.,.250,1.25,11.00,1.500,4.00,.684,.500,1.50,10.50,3,.000,,4.25,.568,3.25,6.25,6,5,16
Eastern Wash.,.000,1.50,14.67,1.500,5.17,.769,.583,2.17,9.17,,.000,,5.67,.409,5.00,6.00,13,9,31
Elon,.833,1.67,13.67,.167,5.17,.963,.833,1.83,7.50,3,.000,,5.50,.451,4.33,6.17,11,10,31
Evansville,.400,2.20,13.00,1.200,6.40,.786,.800,2.00,9.00,2,.000,,3.60,.600,4.40,7.80,10,11,32
FDU,.000,.60,8.00,3.250,1.40,.639,.100,.20,9.40,5,1.000,,3.40,.325,4.60,2.60,1,3,7
FGCU,.400,2.00,13.00,1.800,5.80,.690,.500,1.80,8.20,5,1.000,,5.00,.508,4.00,6.60,9,10,29
FIU,.333,1.33,11.50,1.000,3.33,.739,.667,.67,7.50,6,.667,,4.17,.420,2.83,4.83,4,8,20
Fairfield,.333,2.33,16.67,.833,7.50,.783,.833,2.83,7.83,3,.000,,4.50,.470,3.00,7.83,17,14,45
Fla. Atlantic,.000,1.29,7.86,2.286,3.29,.600,.357,.71,9.00,7,1.000,,3.86,.473,3.43,3.71,5,9,23
Florida,.167,2.33,16.33,1.667,7.33,.655,.667,2.67,10.67,9,1.000,,7.00,.459,3.17,7.50,16,14,44
Florida St.,.750,3.75,18.25,.250,11.25,.875,.875,3.75,8.75,4,.000,,5.50,.425,1.75,7.75,15,15,45
Fordham,.200,2.40,19.00,2.200,6.20,.656,.700,1.40,9.80,4,1.000,1,6.00,.389,4.20,7.40,7,12,31
Fresno St.,.400,1.60,14.80,1.400,4.80,.781,.400,1.60,8.40,5,.000,,6.80,.473,5.00,7.00,8,8,24
Furman,.500,2.67,17.17,.667,7.83,.833,.750,2.50,7.83,5,.000,,8.00,.466,3.33,8.00,15,16,47
Ga. Southern,.167,1.17,11.00,2.000,3.33,.745,.333,1.00,10.00,6,.000,,4.67,.424,5.83,4.67,6,7,20
Gardner-Webb,.000,2.17,14.50,1.500,5.67,.775,.250,1.33,7.33,2,1.000,,4.83,.448,5.17,6.50,8,13,34
George Mason,.000,.40,6.00,2.000,1.00,.722,.100,.20,9.20,5,.000,,3.40,.467,5.20,2.80,1,2,5
George Washington,.400,1.40,8.80,1.600,3.40,.724,.600,.60,7.40,2,1.000,,4.20,.386,4.20,3.40,3,7,17
